time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm)
2534.5,2157.91,0.091759
2534.5,2170.15,0.090073
2534.5,2182.34,0.088840
2534.5,2194.44,0.087613
2534.5,2206.48,0.085769
2534.5,2218.45,0.084047
2534.5,2230.36,0.082421
2534.5,2242.20,0.080391
2534.5,2253.97,0.078910
2534.5,2265.68,0.077619
2534.5,2277.33,0.076387
2534.5,2288.91,0.075102
2534.5,2300.43,0.073252
2534.5,2311.89,0.071795
2534.5,2323.28,0.070395
2534.5,2334.63,0.069541
2534.5,2345.90,0.067977
2534.5,2357.11,0.066173
2534.5,2368.28,0.065160
2534.5,2379.37,0.064566
2534.5,2390.42,0.063139
2534.5,2401.40,0.062168
2534.5,2412.34,0.061048
