time (days since 2003-01-24),wavelength (nm),irradiance (W/m^2/nm)
2534.5,281.50,0.20276
2534.5,282.50,0.28185
2534.5,283.50,0.31246
2534.5,284.50,0.23824
2534.5,285.50,0.12204
2534.5,286.50,0.32210
2534.5,287.50,0.35132
2534.5,288.50,0.29296
2534.5,289.50,0.43799
2534.5,290.50,0.58560
2534.5,291.50,0.54499
2534.5,292.50,0.47388
2534.5,293.50,0.54160
2534.5,294.50,0.48717
2534.5,295.50,0.54556
2534.5,296.50,0.48187
2534.5,297.50,0.51562
2534.5,298.50,0.37956
2534.5,299.50,0.52793
2534.5,300.50,0.35166
2534.5,301.50,0.47687
2534.5,302.50,0.47009
2534.5,303.50,0.61248
2534.5,304.50,0.57849
2534.5,305.50,0.60296
2534.5,306.50,0.55446
2534.5,307.50,0.63536
2534.5,308.50,0.64032
2534.5,309.50,0.48656
2534.5,310.25,0.55144
2534.5,310.48,0.59967
2534.5,310.71,0.64454
2534.5,310.95,0.67325
2534.5,311.18,0.68848
2534.5,311.42,0.69290
2534.5,311.65,0.68373
2534.5,311.89,0.66643
2534.5,312.12,0.64953
2534.5,312.36,0.63903
2534.5,312.60,0.63830
2534.5,312.84,0.64534
2534.5,313.08,0.65501
2534.5,313.32,0.66255
2534.5,313.56,0.66430
2534.5,313.80,0.66458
2534.5,314.04,0.66420
2534.5,314.28,0.65837
2534.5,314.53,0.64805
2534.5,314.77,0.63940
2534.5,315.02,0.62837
2534.5,315.26,0.61654
2534.5,315.51,0.60254
2534.5,315.75,0.59044
2534.5,316.00,0.59075
2534.5,316.25,0.60627
2534.5,316.50,0.63256
2534.5,316.75,0.65885
2534.5,317.00,0.68508
2534.5,317.25,0.70322
2534.5,317.50,0.71046
2534.5,317.75,0.70280
2534.5,318.01,0.68309
2534.5,318.26,0.66457
2534.5,318.51,0.65366
2534.5,318.77,0.65394
2534.5,319.02,0.66049
2534.5,319.28,0.67252
2534.5,319.54,0.69683
2534.5,319.80,0.72151
2534.5,320.06,0.73404
2534.5,320.32,0.73861
2534.5,320.58,0.73705
2534.5,320.84,0.73158
2534.5,321.10,0.71516
2534.5,321.36,0.69892
2534.5,321.62,0.68700
2534.5,321.89,0.67823
2534.5,322.15,0.66918
2534.5,322.42,0.65866
2534.5,322.69,0.65120
2534.5,322.95,0.64862
2534.5,323.22,0.64982
2534.5,323.49,0.66034
2534.5,323.76,0.67309
2534.5,324.03,0.69479
2534.5,324.30,0.72017
2534.5,324.57,0.74786
2534.5,324.85,0.77913
2534.5,325.12,0.80738
2534.5,325.39,0.84081
2534.5,325.67,0.87894
2534.5,325.94,0.90766
2534.5,326.22,0.92763
2534.5,326.50,0.94108
2534.5,326.78,0.94664
2534.5,327.06,0.94365
2534.5,327.34,0.93406
2534.5,327.62,0.92394
2534.5,327.90,0.91750
2534.5,328.18,0.91657
2534.5,328.47,0.92636
2534.5,328.75,0.94216
2534.5,329.04,0.96621
2534.5,329.32,0.99032
2534.5,329.61,1.0072
2534.5,329.90,1.0147
2534.5,330.19,1.0111
2534.5,330.48,0.99844
2534.5,330.77,0.98067
2534.5,331.06,0.96413
2534.5,331.35,0.95312
2534.5,331.64,0.94433
2534.5,331.94,0.93938
2534.5,332.23,0.93435
2534.5,332.53,0.92696
2534.5,332.83,0.91907
2534.5,333.12,0.91712
2534.5,333.42,0.91633
2534.5,333.72,0.91324
2534.5,334.02,0.92043
2534.5,334.32,0.93448
2534.5,334.63,0.93456
2534.5,334.93,0.92762
2534.5,335.23,0.92084
2534.5,335.54,0.90629
2534.5,335.85,0.87662
2534.5,336.15,0.84890
2534.5,336.46,0.83507
2534.5,336.77,0.82756
2534.5,337.08,0.82356
2534.5,337.39,0.83472
2534.5,337.71,0.85769
2534.5,338.02,0.87523
2534.5,338.33,0.88984
2534.5,338.65,0.91632
2534.5,338.96,0.93779
2534.5,339.28,0.95193
2534.5,339.60,0.96392
2534.5,339.92,0.97563
2534.5,340.24,0.97573
2534.5,340.56,0.97247
2534.5,340.88,0.96495
2534.5,341.21,0.95876
2534.5,341.53,0.95763
2534.5,341.86,0.95997
2534.5,342.18,0.96791
2534.5,342.51,0.96791
2534.5,342.84,0.95843
2534.5,343.17,0.94107
2534.5,343.50,0.92199
2534.5,343.83,0.89645
2534.5,344.17,0.87428
2534.5,344.50,0.86347
2534.5,344.84,0.86903
2534.5,345.17,0.88125
2534.5,345.51,0.89869
2534.5,345.85,0.91044
2534.5,346.19,0.91714
2534.5,346.53,0.92382
2534.5,346.88,0.92229
2534.5,347.22,0.92070
2534.5,347.56,0.91009
2534.5,347.91,0.90477
2534.5,348.26,0.90316
2534.5,348.60,0.90523
2534.5,348.95,0.91055
2534.5,349.30,0.92531
2534.5,349.66,0.94432
2534.5,350.01,0.96666
2534.5,350.36,0.98862
2534.5,350.72,0.99657
2534.5,351.08,0.99047
2534.5,351.43,0.98369
